| Name                     | Version          | License                                                                             | Author                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| sniffio                  | 1.3.1            | Apache Software License; MIT License                                                | "Nathaniel J. Smith" <njs@pobox.com>                                                                                                                                                                                                                                                                                                                                                                                                                                |
| soupsieve                | 2.3.1            | MIT License                                                                         | Isaac Muse                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| soupsieve                | 2.5              | MIT License                                                                         | Isaac Muse <Isaac.Muse@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| ssh-import-id            | 5.11             | GPLv3                                                                               | Dustin Kirkland, Casey Marshall                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| starlette                | 0.37.2           | BSD License                                                                         | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| sympy                    | 1.12             | BSD License                                                                         | SymPy development team                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| sympy                    | 1.9              | BSD License                                                                         | SymPy development team                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| systemd-python           | 234              | GNU Lesser General Public License v2 or later (LGPLv2+)                             | systemd developers                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| tabulate                 | 0.9.0            | MIT License                                                                         | Sergey Astanin <s.astanin@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                |
| tb-nightly               | 2.17.0a20240526  | Apache Software License                                                             | Google Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| tensorboard              | 2.16.2           | Apache Software License                                                             | Google Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| tensorboard-data-server  | 0.7.2            | Apache Software License                                                             | Google Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| texttable                | 1.6.4            | MIT License                                                                         | Gerome Fournier                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| thop                     | 0.1.1-2209072238 | MIT                                                                                 | Ligeng Zhu                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| timm                     | 1.0.3            | Apache Software License                                                             | Ross Wightman <ross@huggingface.co>                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| tokenizers               | 0.19.1           | Apache Software License                                                             | Anthony MOI <m.anthony.moi@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                               |
| torch                    | 1.11.0+cu113     | BSD License                                                                         | PyTorch Team                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| torchaudio               | 2.3.0+cu118      | BSD License                                                                         | Soumith Chintala, David Pollack, Sean Naren, Peter Goldsborough, Moto Hira, Caroline Chen, Jeff Hwang, Zhaoheng Ni, Xiaohui Zhang                                                                                                                                                                                                                                                                                                                                   |
| torchreid                | 1.4.0            | MIT                                                                                 | Kaiyang Zhou                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| torchvision              | 0.12.0+cu113     | BSD                                                                                 | PyTorch Core Team                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| tqdm                     | 4.66.2           | MIT License; Mozilla Public License 2.0 (MPL 2.0)                                   | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| transformers             | 4.40.2           | Apache Software License                                                             | The Hugging Face team (past and future) with the help of all our contributors (https://github.com/huggingface/transformers/graphs/contributors)                                                                                                                                                                                                                                                                                                                     |
| triton                   | 2.3.0            | MIT License                                                                         | Philippe Tillet                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| typing_extensions        | 4.9.0            | Python Software Foundation License                                                  | "Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee" <levkivskyi@gmail.com>                                                                                                                                                                                                                                                                                                                                                                               |
| tzdata                   | 2024.1           | Apache Software License                                                             | Python Software Foundation                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| ubuntu-drivers-common    | 0.0.0            | gpl                                                                                 | Alberto Milone                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| ubuntu-pro-client        | 8001             | GPLv3                                                                               | Ubuntu Server Team                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| ufoLib2                  | 0.13.1           | Apache Software License                                                             | Adrien Tétar                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| ufw                      | 0.36.1           | GPL-3                                                                               | Jamie Strandboge                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| ultralytics              | 8.2.2            | GNU Affero General Public License v3 or later (AGPLv3+)                             | Glenn Jocher, Ayush Chaurasia, Jing Qiu                                                                                                                                                                                                                                                                                                                                                                                                                             |
| unattended-upgrades      | 0.1              | UNKNOWN                                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| unicodedata2             | 14.0.0           | Apache License 2.0                                                                  | Mike Kaplinskiy                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| urllib3                  | 1.26.5           | MIT License                                                                         | Andrey Petrov                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| usb-creator              | 0.3.7            | UNKNOWN                                                                             | Evan Dandrea                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| uvicorn                  | 0.15.0           | BSD License                                                                         | Tom Christie                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| wadllib                  | 1.3.6            | GNU Library or Lesser General Public License (LGPL)                                 | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| webencodings             | 0.5.1            | BSD License                                                                         | Simon Sapin                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| websocket-client         | 1.2.3            | Apache Software License                                                             | liris                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| wsproto                  | 1.0.0            | MIT License                                                                         | Benno Rice                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| xdg                      | 5                | UNKNOWN                                                                             | Andrej Shadura                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| xkit                     | 0.0.0            | GPL v2 or later                                                                     | Alberto Milone                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| xxhash                   | 3.4.1            | BSD License                                                                         | Yue Du                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| yacs                     | 0.1.8            | Apache Software License                                                             | Ross Girshick                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| yapf                     | 0.40.2           | Apache Software License                                                             | Google Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| yarl                     | 1.9.4            | Apache Software License                                                             | Andrew Svetlov                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| zipp                     | 1.0.0            | MIT License                                                                         | Jason R. Coombs                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
